Z_layer_num,Depth_bls,Total_Depth
0.0000,97.0000,102.0000
1.0000,87.0000,102.0000
2.0000,77.0000,102.0000
3.0000,67.0000,102.0000
4.0000,57.0000,102.0000
5.0000,48.0000,102.0000
6.0000,40.0000,102.0000
7.0000,33.0000,102.0000
8.0000,27.0000,102.0000
9.0000,22.0000,102.0000
10.0000,18.0000,102.0000
11.0000,15.0000,102.0000
12.0000,13.0000,102.0000
13.0000,11.0000,102.0000
14.0000,9.5000,102.0000
15.0000,8.5000,102.0000
16.0000,7.5000,102.0000
17.0000,6.7500,102.0000
18.0000,6.2500,102.0000
19.0000,5.7500,102.0000
20.0000,5.2500,102.0000
21.0000,4.7500,102.0000
22.0000,4.2500,102.0000
23.0000,3.7500,102.0000
24.0000,3.2500,102.0000
25.0000,2.7500,102.0000
26.0000,2.2500,102.0000
27.0000,1.7500,102.0000
28.0000,1.2500,102.0000
29.0000,0.7500,102.0000
30.0000,0.3750,102.0000
31.0000,0.1250,102.0000
